产品编号,产品名称,价格(元),产品描述,库存量
SN202504-061,雷蛇灵刃15,15999,15.6英寸4K 144Hz屏，i9-13950HX，RTX 4090,52
SN202504-062,飞利浦Hue Bridge,499,智能灯桥，Zigbee 3.0，50灯控制,187
SN202504-063,华硕PA279CV,4299,27英寸4K屏，99% AdobeRGB，ΔE<2,94
SN202504-064,希捷FireCuda,1299,2TB SSD，PCIe 4.0，7300MB/s读取,143
SN202504-065,罗技MX Master 3S,999,无线鼠标，8000DPI，Darkfield追踪,231
SN202504-066,三星980 Pro,899,1TB SSD，PCIe 4.0，7000MB/s读取,187
SN202504-067,Anker Soundcore,599,真无线耳机，LDAC编码，40小时续航,321
SN202504-068,小米电视S Pro 75,5999,75英寸Mini LED，144Hz刷新率，杜比视界,87
SN202504-069,佳明Venu 3,3299,1.3英寸AMOLED屏，多频多星定位，血氧监测,105
SN202504-070,索尼INZONE H9,2299,无线耳机，360空间音效，32小时续航,132
SN202504-071,微星Creator 17,12999,17英寸4K Mini LED，i9-13900H，RTX 4080,62
SN202504-072,贝尔金3合1,999,MagSafe充电器，15W快充，Apple Watch兼容,187
SN202504-073,西部数据SN850X,1099,1TB SSD，PCIe 4.0，7300MB/s读取,154
SN202504-074,雷蛇巴塞利斯V3,699,游戏鼠标，FOCUS+ 26K传感器，11键编程,231
SN202504-075,飞利浦SHP9600,599,头戴式耳机，50mm钕磁单元，开放式设计,187
SN202504-076,绿联NAS私有云,1599,双盘位NAS，Intel N5105，双2.5G网口,132
SN202504-077,华硕ZenScreen MB16AC,1799,15.6英寸便携屏，1080P IPS，USB-C供电,165
SN202504-078,海盗船iCUE 5000X,1299,中塔机箱，钢化玻璃侧板，RGB控制器,98
SN202504-079,罗技C920,599,1080P摄像头，自动对焦，立体声麦克风,231
SN202504-080,三星ViewFinity S8,3999,32英寸4K屏，IPS Black面板，99% DCI-P3,87
SN202504-081,HyperX Fury DDR5,899,32GB内存套装，5600MHz，CL36时序,143
SN202504-082,贝尔金雷电3扩展坞,1299,雷电3接口，85W供电，双4K输出,76
SN202504-083,希捷Expansion,899,5TB移动硬盘，USB3.2，自动备份,187
SN202504-084,雷蛇利维坦V2,1499,条形音箱，THX空间音效，蓝牙5.2,105
SN202504-085,飞利浦Hue Play,799,智能彩光灯，1600万色，HomeKit兼容,231
SN202504-086,华硕ROG Strix XG32UQ,5999,32英寸4K 160Hz屏，HDMI 2.1，ΔE<2,65
SN202504-087,西部数据Elements,599,4TB移动硬盘，USB3.0，兼容Windows/Mac,187
SN202504-088,罗技G915 TKL,1599,无线机械键盘，GL矮轴，RGB背光,98
SN202504-089,索尼ZV-E10,5299,2420万像素APS-C，4K 30P视频，实时追踪,132
SN202504-090,三星T5 EVO,599,2TB移动硬盘，USB3.2，540MB/s读取,231
SN202504-091,海盗船4000D,799,中塔机箱，钢化玻璃侧板，优秀风道设计,154
SN202504-092,Anker 543,499,65W氮化镓充电器，2C1A接口，折叠插脚,321
SN202504-093,微星MAG B760,1299,ATX主板，DDR5内存，PCIe 5.0，WiFi 6E,143
SN202504-094,飞利浦Hue Gradient,1299,65英寸电视灯带，1600万色，同步光效,87
SN202504-095,华硕ProArt PA32UCX,29999,32英寸4K HDR屏，1200尼特峰值，ΔE<1,42
SN202504-096,希捷IronWolf,1299,4TB NAS硬盘，5900转，256MB缓存,132
SN202504-097,雷蛇Kiyo Pro,999,1080P摄像头，HDR支持，自适应光感,98
SN202504-098,贝尔金Boost↑Charge,399,三合一无线充电板，15W快充，Apple认证,231
SN202504-099,索尼WH-XB910N,1299,无线降噪耳机，EXTRA BASS，30小时续航,187
SN202504-100,西部数据Black SN770,599,1TB SSD，PCIe 4.0，5150MB/s读取,276
